Indicador,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Unidades por kilo mmpp terceros*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,2044720.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,1942589.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,Camanchaca
Unidades por kilo mmpp propia*,70.9,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,2604024,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,2239077,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,Camanchaca
Unidades por kilo mmpp terceros*,63.6,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,Camanchaca
Ingreso Materia Prima Bruta Propia,2545637.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1917016.972,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2020,Sudmaris
Unidades por kilo mmpp propia*,76,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,1232085.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1058643.44,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2020,Sudmaris
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,2500915,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2013250,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2020,Sudmaris
Unidades por kilo mmpp propia*,76,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,1490334,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1358645,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2020,Sudmaris
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,2399325.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1691121.817,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2020,Sudmaris
Unidades por kilo mmpp propia*,86,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,981476.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,868228.182,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2020,Sudmaris
Unidades por kilo mmpp terceros*,57,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,3141820,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2323392.786,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,Sudmaris
Unidades por kilo mmpp propia*,82,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,551783,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,474334.759,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,Sudmaris
Unidades por kilo mmpp terceros*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,2423627.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1772945.164,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,Sudmaris
Unidades por kilo mmpp propia*,80,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,1491168.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1361436.292,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,Sudmaris
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,2127838,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1521674,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,Sudmaris
Unidades por kilo mmpp propia*,77,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,2455502,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2144650,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,Sudmaris
Unidades por kilo mmpp terceros*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,1098364,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,787515,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,Sudmaris
Unidades por kilo mmpp propia*,87.22,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,3517523,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,3049709,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,Sudmaris
Unidades por kilo mmpp terceros*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,Sudmaris
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,2337794,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2064947.453,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,Sudmaris
Unidades por kilo mmpp terceros*,68,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2020,Sudmaris
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,275793,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,251496.682,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2020,Sudmaris
Unidades por kilo mmpp terceros*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,790211.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,632160.163,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,Sudmaris
Unidades por kilo mmpp propia*,70,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,1782845.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1600937.825,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,Sudmaris
Unidades por kilo mmpp terceros*,54.94,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,Sudmaris
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,3372285,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2533781,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,Sudmaris
Unidades por kilo mmpp terceros*,70.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,Sudmaris
Ingreso Materia Prima Neta Propia,1336630,0,0,1,2020,Blue Shell
Unidades por kilo mmpp propia*,73.4,0,0,1,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2785024,0,0,1,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.04,0,0,1,2020,Blue Shell
rechazo propio,0.129356053,0,0,1,2020,Blue Shell
rechazo terceros,0.110755771,0,0,1,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1535220,0,0,1,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3131900,0,0,1,2020,Blue Shell
rechazo terceros,0.110755771,0,0,1,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1535220,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,0,1,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1336630,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,0,1,2020,Blue Shell
Unidades por kilo mmpp propia*,73.4,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,0,1,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3131900,Total Kilos mmpp de centros de terceros ingresados a planta al mes,0,1,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2785024,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,0,1,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.04,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,0,1,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1535220,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1336630,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2020,Blue Shell
Unidades por kilo mmpp propia*,73.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3131900,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2785024,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,1,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.04,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1571085,0,0,2,2020,Blue Shell
Unidades por kilo mmpp propia*,70.5,0,0,2,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2551733,0,0,2,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.22,0,0,2,2020,Blue Shell
rechazo propio,0.115798271,0,0,2,2020,Blue Shell
rechazo terceros,0.101240116,0,0,2,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1776840,0,0,2,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2839171,0,0,2,2020,Blue Shell
rechazo propio,0.115798271,0,0,2,2020,Blue Shell
rechazo terceros,0.101240116,0,0,2,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1776840,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,0,2,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1571085,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,0,2,2020,Blue Shell
Unidades por kilo mmpp propia*,70.5,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,0,2,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2839171,Total Kilos mmpp de centros de terceros ingresados a planta al mes,0,2,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2551733,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,0,2,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.22,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,0,2,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1776840,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1571085,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,Blue Shell
Unidades por kilo mmpp propia*,70.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2839171,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2551733,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,2,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.22,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1035531,0,0,3,2020,Blue Shell
Unidades por kilo mmpp propia*,70.22,0,0,3,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2662740,0,0,3,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.43,0,0,3,2020,Blue Shell
rechazo propio,0.113498729,0,0,3,2020,Blue Shell
rechazo terceros,0.10733628,0,0,3,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1168110,0,0,3,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2982915,0,0,3,2020,Blue Shell
rechazo propio,0.113498729,0,0,3,2020,Blue Shell
rechazo terceros,0.10733628,0,0,3,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1168110,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,0,3,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1035531,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,0,3,2020,Blue Shell
Unidades por kilo mmpp propia*,70.22,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,0,3,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2982915,Total Kilos mmpp de centros de terceros ingresados a planta al mes,0,3,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2662740,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,0,3,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.43,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,0,3,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1168110,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1035531,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2020,Blue Shell
Unidades por kilo mmpp propia*,70.22,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2982915,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2662740,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,3,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.43,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,Blue Shell
Ingreso Materia Prima Neta Propia,623326,0,0,4,2020,Blue Shell
Unidades por kilo mmpp propia*,74.46,0,0,4,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,1334607,0,0,4,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.39,0,0,4,2020,Blue Shell
rechazo propio,0.128946339,0,0,4,2020,Blue Shell
rechazo terceros,0.106730608,0,0,4,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,715600,0,0,4,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,1494070,0,0,4,2020,Blue Shell
rechazo propio,0.128946339,0,0,4,2020,Blue Shell
rechazo terceros,0.106730608,0,0,4,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,715600,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,0,4,2020,Blue Shell
Ingreso Materia Prima Neta Propia,623326,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,0,4,2020,Blue Shell
Unidades por kilo mmpp propia*,74.46,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,0,4,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,1494070,Total Kilos mmpp de centros de terceros ingresados a planta al mes,0,4,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,1334607,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,0,4,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.39,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,0,4,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,715600,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,Blue Shell
Ingreso Materia Prima Neta Propia,623326,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2020,Blue Shell
Unidades por kilo mmpp propia*,74.46,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,1494070,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,1334607,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,4,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.39,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,Blue Shell
Ingreso Materia Prima Neta Propia,0,0,0,5,2020,Blue Shell
Unidades por kilo mmpp propia*,0,0,0,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,0,0,0,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,0,0,0,5,2020,Blue Shell
rechazo propio,0,0,0,5,2020,Blue Shell
rechazo terceros,0,0,0,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1487264,0,0,5,2020,Blue Shell
Unidades por kilo mmpp propia*,72,0,0,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2492410,0,0,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,70.4,0,0,5,2020,Blue Shell
rechazo propio,0.14868519,0,0,5,2020,Blue Shell
rechazo terceros,0.098077034,0,0,5,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1747020,0,0,5,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2763440,0,0,5,2020,Blue Shell
rechazo terceros,0.098077034,0,0,5,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1747020,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,0,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1487264,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,0,5,2020,Blue Shell
Unidades por kilo mmpp propia*,72,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,0,5,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2763440,Total Kilos mmpp de centros de terceros ingresados a planta al mes,0,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2492410,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,0,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,70.4,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,0,5,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1747020,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1487264,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2020,Blue Shell
Unidades por kilo mmpp propia*,72,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2763440,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2492410,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,70.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,0,0,0,6,2020,Blue Shell
Unidades por kilo mmpp propia*,0,0,0,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,0,0,0,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,0,0,0,6,2020,Blue Shell
rechazo propio,0,0,0,6,2020,Blue Shell
rechazo terceros,0,0,0,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1619426,0,0,6,2020,Blue Shell
Unidades por kilo mmpp propia*,75,0,0,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3046863,0,0,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,71,0,0,6,2020,Blue Shell
rechazo propio,0.132,0,0,6,2020,Blue Shell
rechazo terceros,0.101,0,0,6,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1866550,0,0,6,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3388375,0,0,6,2020,Blue Shell
rechazo propio,0.132396132,0,0,6,2020,Blue Shell
rechazo terceros,0.100789316,0,0,6,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1866550,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,0,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1619426,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,0,6,2020,Blue Shell
Unidades por kilo mmpp propia*,75,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,0,6,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3388375,Total Kilos mmpp de centros de terceros ingresados a planta al mes,0,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3046863,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,0,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,71,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,0,6,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1866550,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1619426,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2020,Blue Shell
Unidades por kilo mmpp propia*,75,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3388375,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3046863,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,71,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,0,0,0,7,2020,Blue Shell
Unidades por kilo mmpp propia*,0,0,0,7,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,0,0,0,7,2020,Blue Shell
Unidades por kilo mmpp terceros*,0,0,0,7,2020,Blue Shell
rechazo propio,0,0,0,7,2020,Blue Shell
rechazo terceros,0,0,0,7,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,2391040,0,0,7,2020,Blue Shell
Ingreso Materia Prima Neta Propia,2120126,0,0,7,2020,Blue Shell
Unidades por kilo mmpp propia*,79,0,0,7,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2391040,0,0,7,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3084035,0,0,7,2020,Blue Shell
Unidades por kilo mmpp terceros*,72,0,0,7,2020,Blue Shell
rechazo propio,0.132,0,0,7,2020,Blue Shell
rechazo terceros,0.101,0,0,7,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3394830,0,0,7,2020,Blue Shell
